id_Produto,Produto,fk_Categoria,Preço Unitário
1,Computador_PowerPlex,1,R$ 5650
2,Computador_SpeedMaster,1,R$ 1458
3,Computador_QuantumElite,1,R$ 3256
4,Computador_CyberPro,1,R$ 7890
5,Computador_DataPulse,1,R$ 4599
6,Computador_LogicStation,1,R$ 3548
7,Computador_TechVista,1,R$ 2659
8,Computador_MegaFusion,1,R$ 7895
9,Computador_CodeMaster,1,R$ 3259
10,Computador_ByteBlitz,1,R$ 6587
11,Note_UltraBookSwift,2,R$ 9586
12,Notebook_NovaFlex,3,R$ 5896
13,Notebook_QuantumBook,3,R$ 12589
14,Notebook_CyberElite,3,R$ 14587
15,Notebook_DataMate,3,R$ 2563
16,Notebook_LogicBook,3,R$ 19587
17,Notebook_TechMate,3,R$ 4587
18,Notebook_MegaPorta,3,R$ 2564
19,Notebook_CodeCraftBook,3,R$ 2358
20,Notebook_ByteBeam,3,R$ 9658
21,Processador_QuantumCore i9,4,R$ 2158
22,Processador_CyberSpeed X,4,R$ 25638
23,Processador_DataStream Pro,4,R$ 11095
24,Processador_LogicFusion,4,R$ 42658
25,Processador_TechBlaze,4,R$ 5698
26,Processador_MegaFlow,4,R$ 10254
27,Processador_CodePulse X,4,R$ 16854
28,Processador_ByteBoost Elite,4,R$ 18956
29,Processador_SpeedCraft Pro,4,R$ 9658
30,Processador_UltraLogic i7,4,R$ 17856
31,GPU_CyberForce RTX,5,R$ 44589
32,GPU_DataGlide Pro,5,R$ 23547
33,GPU_LogicBoost HD,5,R$ 12584
34,GPU_TechRush XR,5,R$ 36587
35,GPU_MegaGamer X,5,R$ 39632
36,GPU_CodeView Elite,5,R$ 22569
37,GPU_ByteVision Pro,5,R$ 45987
38,GPU_SpeedFlow GTX,5,R$ 16235
39,GPU_UltraGlide XR,5,R$ 13254
40,Monitor_CyberScreen Pro,6,R$ 20145
41,Monitor_DataDisplay X,6,R$ 26548
42,Monitor_LogicVision XR,6,R$ 23548
43,Monitor_TechSight Pro,6,R$ 27598
44,Monitor_MegaScreen X,6,R$ 10254
45,Monitor_CodeGaze Elite,6,R$ 8542
46,Monitor_ByteView Pro,6,R$ 6587
47,Monitor_SpeedScape XR,6,R$ 10254
48,Monitor_UltraSight Pro,6,R$ 22365
49,Teclado_CyberType Elite,7,R$ 563
50,Teclado_DataBoard X,7,R$ 1254
51,Teclado_LogicTouch Pro,7,R$ 421
52,Teclado_TechType XR,7,R$ 350
53,Teclado_MegaKeys X,7,R$ 299
54,Teclado_CodeTap Elite,7,R$ 458
55,Teclado_ByteTouch Pro,7,R$ 625
56,Teclado_SpeedType XR,7,R$ 102
57,Teclado_UltraKeys Pro,7,R$ 7854
58,Mouse_CyberClick Elite,8,R$ 521
59,Mouse_DataPoint X,8,R$ 24
60,Mouse_LogicGrip Pro,8,R$ 39
61,Mouse_TechRover XR,8,R$ 54
62,Mouse_MegaClick X,8,R$ 558
